"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 18:05:31 GMT 2024","Thu Oct 24 18:05:31 GMT 2024","175","Bank78 Virtual NUBAN","Test Funding","","","","Test Funding - no beneficiary account name",""
"passed","Thu Oct 24 18:05:28 GMT 2024","Thu Oct 24 18:05:29 GMT 2024","302","Bank78 Virtual NUBAN","Retrieve a reserved account","","","","Retrieve a reserved account- No authorization",""
"passed","Thu Oct 24 18:05:32 GMT 2024","Thu Oct 24 18:05:32 GMT 2024","147","Bank78 Virtual NUBAN","Test Funding","","","","Test Funding - no originator account name",""
"failed","Thu Oct 24 18:05:28 GMT 2024","Thu Oct 24 18:05:28 GMT 2024","144","Bank78 Virtual NUBAN","Retrieve a reserved account","","","","Retrieve a reserved account",""
"failed","Thu Oct 24 18:05:25 GMT 2024","Thu Oct 24 18:05:25 GMT 2024","174","Bank78 Virtual NUBAN","Authorization - Bunch(QA)","","","","Authorization - no grant type","Content-type: application/x-www-form-urlencoded"
"passed","Thu Oct 24 18:05:28 GMT 2024","Thu Oct 24 18:05:28 GMT 2024","136","Bank78 Virtual NUBAN","Retrieve a reserved account","","","","Retrieve a reserved account- invalid account ref",""
"passed","Thu Oct 24 18:05:31 GMT 2024","Thu Oct 24 18:05:31 GMT 2024","142","Bank78 Virtual NUBAN","Test Funding","","","","Test Funding - Mismatched beneficiary account number and name",""
"passed","Thu Oct 24 18:05:22 GMT 2024","Thu Oct 24 18:05:23 GMT 2024","560","Bank78 Virtual NUBAN","Authorization","","","","Authorization","Content-type: application/x-www-form-urlencoded"
"passed","Thu Oct 24 18:05:24 GMT 2024","Thu Oct 24 18:05:24 GMT 2024","165","Bank78 Virtual NUBAN","Authorization - Bunch(QA)","","","","Authorization - invalid client id","Content-type: application/x-www-form-urlencoded"
"passed","Thu Oct 24 18:05:33 GMT 2024","Thu Oct 24 18:05:33 GMT 2024","134","Bank78 Virtual NUBAN","Test Funding","","","","Test Funding - negative amount",""
"passed","Thu Oct 24 18:05:32 GMT 2024","Thu Oct 24 18:05:32 GMT 2024","110","Bank78 Virtual NUBAN","Test Funding","","","","Test Funding - no narration",""
"passed","Thu Oct 24 18:05:32 GMT 2024","Thu Oct 24 18:05:32 GMT 2024","121","Bank78 Virtual NUBAN","Test Funding","","","","Test Funding - no originator account number",""
"failed","Thu Oct 24 18:05:25 GMT 2024","Thu Oct 24 18:05:25 GMT 2024","207","Bank78 Virtual NUBAN","Authorization - Bunch(QA)","","","","Authorization - invalid grant type","Content-type: application/x-www-form-urlencoded"
"failed","Thu Oct 24 18:05:24 GMT 2024","Thu Oct 24 18:05:24 GMT 2024","176","Bank78 Virtual NUBAN","Authorization","","","","Authorization - no grant type","Content-type: application/x-www-form-urlencoded"
"passed","Thu Oct 24 18:05:24 GMT 2024","Thu Oct 24 18:05:25 GMT 2024","172","Bank78 Virtual NUBAN","Authorization - Bunch(QA)","","","","Authorization - no client secret","Content-type: application/x-www-form-urlencoded"
"passed","Thu Oct 24 18:05:33 GMT 2024","Thu Oct 24 18:05:33 GMT 2024","146","Bank78 Virtual NUBAN","Test Funding","","","","Test Funding - invalid amount",""
