"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Content-type: application/x-www-form-urlencoded","228","Authorization - no client id","Bank78 Virtual NUBAN","Fri Dec 13 18:01:19 GMT 2024","passed","Fri Dec 13 18:01:19 GMT 2024","","Authorization - Bunch(QA)","",""
"","381","Retrieve a reserved account","Bank78 Virtual NUBAN","Fri Dec 13 18:01:24 GMT 2024","failed","Fri Dec 13 18:01:25 GMT 2024","","Retrieve a reserved account","",""
"","669","Retrieve a reserved account- No authorization","Bank78 Virtual NUBAN","Fri Dec 13 18:01:25 GMT 2024","passed","Fri Dec 13 18:01:26 GMT 2024","","Retrieve a reserved account","",""
"","202","Retrieve a reserved account- no account ref","Bank78 Virtual NUBAN","Fri Dec 13 18:01:25 GMT 2024","passed","Fri Dec 13 18:01:25 GMT 2024","","Retrieve a reserved account","",""
"Content-type: application/x-www-form-urlencoded","395","Authorization - invalid client secret","Bank78 Virtual NUBAN","Fri Dec 13 18:01:19 GMT 2024","passed","Fri Dec 13 18:01:20 GMT 2024","","Authorization - Bunch(QA)","",""
"","202","Test Funding - no narration","Bank78 Virtual NUBAN","Fri Dec 13 18:01:30 GMT 2024","passed","Fri Dec 13 18:01:31 GMT 2024","","Test Funding","",""
"","179","Test Funding - invalid amount format","Bank78 Virtual NUBAN","Fri Dec 13 18:01:31 GMT 2024","passed","Fri Dec 13 18:01:32 GMT 2024","","Test Funding","",""
"","238","Test Funding - negative amount","Bank78 Virtual NUBAN","Fri Dec 13 18:01:31 GMT 2024","passed","Fri Dec 13 18:01:31 GMT 2024","","Test Funding","",""
"","534","Reserve an account -  incorrect bvn","Bank78 Virtual NUBAN","Fri Dec 13 18:01:23 GMT 2024","passed","Fri Dec 13 18:01:23 GMT 2024","","Reserve an account","",""
"Content-type: application/x-www-form-urlencoded","231","Authorization - invalid client id","Bank78 Virtual NUBAN","Fri Dec 13 18:01:18 GMT 2024","passed","Fri Dec 13 18:01:19 GMT 2024","","Authorization - Bunch(QA)","",""
"","536","Reserve an account -  invalid email add","Bank78 Virtual NUBAN","Fri Dec 13 18:01:22 GMT 2024","passed","Fri Dec 13 18:01:22 GMT 2024","","Reserve an account","",""
"Content-type: application/x-www-form-urlencoded","231","Authorization - invalid grant type","Bank78 Virtual NUBAN","Fri Dec 13 18:01:18 GMT 2024","failed","Fri Dec 13 18:01:18 GMT 2024","","Authorization","",""
"","851","Reserve an account - Invalid account reference","Bank78 Virtual NUBAN","Fri Dec 13 18:01:20 GMT 2024","failed","Fri Dec 13 18:01:21 GMT 2024","","Reserve an account","",""
"","490","Retrieve a reserved account- invalid authorization","Bank78 Virtual NUBAN","Fri Dec 13 18:01:27 GMT 2024","passed","Fri Dec 13 18:01:28 GMT 2024","","Retrieve a reserved account by account number","",""
"","367","Reserve an account - New Mechant","Bank78 Virtual NUBAN","Fri Dec 13 18:01:32 GMT 2024","passed","Fri Dec 13 18:01:32 GMT 2024","","For New Merchant","",""
"","428","Get all reserved account Copy","Bank78 Virtual NUBAN","Fri Dec 13 18:01:28 GMT 2024","passed","Fri Dec 13 18:01:29 GMT 2024","","Get all reserved account","",""
"Content-type: application/x-www-form-urlencoded","226","Authorization - invalid client secret","Bank78 Virtual NUBAN","Fri Dec 13 18:01:18 GMT 2024","passed","Fri Dec 13 18:01:18 GMT 2024","","Authorization","",""
"","207","Test Funding - mismatched  originator account number and name","Bank78 Virtual NUBAN","Fri Dec 13 18:01:30 GMT 2024","passed","Fri Dec 13 18:01:30 GMT 2024","","Test Funding","",""
"Content-type: application/x-www-form-urlencoded","160","Authorization - New Merchant","Bank78 Virtual NUBAN","Fri Dec 13 18:01:32 GMT 2024","failed","Fri Dec 13 18:01:32 GMT 2024","","For New Merchant","",""
"","214","Test Funding - no beneficiary account number","Bank78 Virtual NUBAN","Fri Dec 13 18:01:29 GMT 2024","passed","Fri Dec 13 18:01:30 GMT 2024","","Test Funding","",""
"Content-type: application/x-www-form-urlencoded","229","Authorization - no grant type","Bank78 Virtual NUBAN","Fri Dec 13 18:01:18 GMT 2024","failed","Fri Dec 13 18:01:18 GMT 2024","","Authorization","",""
"","207","Retrieve a reserved account- invalid account ref","Bank78 Virtual NUBAN","Fri Dec 13 18:01:25 GMT 2024","passed","Fri Dec 13 18:01:25 GMT 2024","","Retrieve a reserved account","",""
"","364","Reserve an account -  invalid phone number","Bank78 Virtual NUBAN","Fri Dec 13 18:01:22 GMT 2024","passed","Fri Dec 13 18:01:22 GMT 2024","","Reserve an account","",""
"","371","Test Funding - no originator account number","Bank78 Virtual NUBAN","Fri Dec 13 18:01:30 GMT 2024","passed","Fri Dec 13 18:01:30 GMT 2024","","Test Funding","",""
"Content-type: application/x-www-form-urlencoded","679","Authorization","Bank78 Virtual NUBAN","Fri Dec 13 18:01:16 GMT 2024","passed","Fri Dec 13 18:01:17 GMT 2024","","Authorization","",""
"","197","Retrieve a reserved account- no account number","Bank78 Virtual NUBAN","Fri Dec 13 18:01:27 GMT 2024","passed","Fri Dec 13 18:01:27 GMT 2024","","Retrieve a reserved account by account number","",""
"Content-type: application/x-www-form-urlencoded","258","Authorization - no client id","Bank78 Virtual NUBAN","Fri Dec 13 18:01:17 GMT 2024","passed","Fri Dec 13 18:01:18 GMT 2024","","Authorization","",""
"","201","Reserve an account - No account reference","Bank78 Virtual NUBAN","Fri Dec 13 18:01:21 GMT 2024","passed","Fri Dec 13 18:01:21 GMT 2024","","Reserve an account","",""
"Content-type: application/x-www-form-urlencoded","247","Authorization - no client secret","Bank78 Virtual NUBAN","Fri Dec 13 18:01:18 GMT 2024","passed","Fri Dec 13 18:01:18 GMT 2024","","Authorization","",""
"","200","Test Funding - Mismatched beneficiary account number and name","Bank78 Virtual NUBAN","Fri Dec 13 18:01:29 GMT 2024","passed","Fri Dec 13 18:01:29 GMT 2024","","Test Funding","",""
"","199","Test Funding - no payment reference","Bank78 Virtual NUBAN","Fri Dec 13 18:01:31 GMT 2024","passed","Fri Dec 13 18:01:31 GMT 2024","","Test Funding","",""
"","199","Test Funding - no originator account name","Bank78 Virtual NUBAN","Fri Dec 13 18:01:30 GMT 2024","passed","Fri Dec 13 18:01:30 GMT 2024","","Test Funding","",""
"Content-type: application/x-www-form-urlencoded","215","Authorization - no grant type","Bank78 Virtual NUBAN","Fri Dec 13 18:01:20 GMT 2024","failed","Fri Dec 13 18:01:20 GMT 2024","","Authorization - Bunch(QA)","",""
"","248","Retrieve a reserved account- invalid authorization","Bank78 Virtual NUBAN","Fri Dec 13 18:01:26 GMT 2024","passed","Fri Dec 13 18:01:26 GMT 2024","","Retrieve a reserved account","",""
"","374","Reserve an account -  invalid bvn","Bank78 Virtual NUBAN","Fri Dec 13 18:01:22 GMT 2024","passed","Fri Dec 13 18:01:23 GMT 2024","","Reserve an account","",""
"Content-type: application/x-www-form-urlencoded","242","Authorization - invalid client id","Bank78 Virtual NUBAN","Fri Dec 13 18:01:17 GMT 2024","passed","Fri Dec 13 18:01:17 GMT 2024","","Authorization","",""
"","488","Retrieve a reserved account- No authorization","Bank78 Virtual NUBAN","Fri Dec 13 18:01:27 GMT 2024","passed","Fri Dec 13 18:01:27 GMT 2024","","Retrieve a reserved account by account number","",""
"","209","Reserve an account","Bank78 Virtual NUBAN","Fri Dec 13 18:01:20 GMT 2024","passed","Fri Dec 13 18:01:20 GMT 2024","","Reserve an account","",""
"","197","Test Funding - invalid amount","Bank78 Virtual NUBAN","Fri Dec 13 18:01:31 GMT 2024","passed","Fri Dec 13 18:01:31 GMT 2024","","Test Funding","",""
"","201","Test Funding","Bank78 Virtual NUBAN","Fri Dec 13 18:01:29 GMT 2024","failed","Fri Dec 13 18:01:29 GMT 2024","","Test Funding","",""
"","493","Retrieve a reserved account by account number","Bank78 Virtual NUBAN","Fri Dec 13 18:01:26 GMT 2024","failed","Fri Dec 13 18:01:26 GMT 2024","","Retrieve a reserved account by account number","",""
"Content-type: application/x-www-form-urlencoded","236","Authorization - invalid grant type","Bank78 Virtual NUBAN","Fri Dec 13 18:01:20 GMT 2024","failed","Fri Dec 13 18:01:20 GMT 2024","","Authorization - Bunch(QA)","",""
"","202","Test Funding - no beneficiary account name","Bank78 Virtual NUBAN","Fri Dec 13 18:01:29 GMT 2024","passed","Fri Dec 13 18:01:29 GMT 2024","","Test Funding","",""
"","433","Reserve an account -  expiry date in the past","Bank78 Virtual NUBAN","Fri Dec 13 18:01:23 GMT 2024","passed","Fri Dec 13 18:01:24 GMT 2024","","Reserve an account","",""
"Content-type: application/x-www-form-urlencoded","221","Authorization - no client secret","Bank78 Virtual NUBAN","Fri Dec 13 18:01:19 GMT 2024","passed","Fri Dec 13 18:01:19 GMT 2024","","Authorization - Bunch(QA)","",""
"","206","Retrieve a reserved account- invalid account number","Bank78 Virtual NUBAN","Fri Dec 13 18:01:26 GMT 2024","passed","Fri Dec 13 18:01:27 GMT 2024","","Retrieve a reserved account by account number","",""
"","198","Reserve an account -  dynamic acct & no expiry date","Bank78 Virtual NUBAN","Fri Dec 13 18:01:24 GMT 2024","passed","Fri Dec 13 18:01:24 GMT 2024","","Reserve an account","",""
"","207","Reserve an account - No account name","Bank78 Virtual NUBAN","Fri Dec 13 18:01:21 GMT 2024","passed","Fri Dec 13 18:01:22 GMT 2024","","Reserve an account","",""
"","594","Get all reserved account","Bank78 Virtual NUBAN","Fri Dec 13 18:01:28 GMT 2024","failed","Fri Dec 13 18:01:28 GMT 2024","","Get all reserved account","",""
"","194","Test Funding - no amount","Bank78 Virtual NUBAN","Fri Dec 13 18:01:31 GMT 2024","passed","Fri Dec 13 18:01:31 GMT 2024","","Test Funding","",""
"","200","Reserve an account -  invalid account type","Bank78 Virtual NUBAN","Fri Dec 13 18:01:24 GMT 2024","passed","Fri Dec 13 18:01:24 GMT 2024","","Reserve an account","",""
